物料编码,物料名称,物料描述,物料类别,物料子类,计量单位,参考价格,库存数量,供应商,规格型号,状态
MAT-0401-1642,螺栓 M2４x４5 １2.9级,螺栓 M24x45 12.9级，国产，标准件,紧固件,螺栓,个,48226.29,500,供应商B,M24x45 12.9级,停用
MAT-0804-3268,液位计 0-4MPa,液位计 0-4MPa，进口，非标定制,仪表,液位计,个,45397.77,45,,0-4MPa,启用
MAT-0103-6847,FAG 推力球轴承 60x75x11mm,FAG 推力球轴承 60x75x11mm，进口，非标定制,轴承,推力球轴承,组,26550.79,217,,推力球轴承 60x75x11mm,启用
MAT-0603-7445,伺服电机 22kW 1140V,伺服电机 22kW 1140V，进口，标准件,电机,伺服电机,只,23406.36,98,供应商A,22kW 1140V,启用
MAT-0306-7519,骨架油封 DN80 硅橡胶,骨架油封 DN80 硅橡胶，国产，非标定制,阀门,安全阀,kg,28393.38,387,供应商B,DN80 硅橡胶,启用
MAT-0704-8443,异径管 DN50 20# DIN,异径管 DN50 20# DIN，国产，标准件,管件,异径管,件,23877.93,479,供应商B,DN50 20# DIN,启用
MAT-0504-3859,隔膜泵 80m³/h 65m,隔膜泵 80m³/h 65m，进口，非标定制,泵类,隔膜泵,个,0.0551,184,供应商B,80m³/h 65m,启用
MAT-0204-5027,NSK 角接触球轴承 30x61x11mm,NSK 角接触球轴承 30x61x11mm，国产，非标定制,轴承,角接触球轴承,只,30735.13,112,供应商B,角接触球轴承 30x61x11mm,停用
MAT-0304-9925,垫片 DN1５0 硅橡胶,垫片 DN150 硅橡胶，进口，标准件,密封件,垫片,米,34020.29,305,供应商A,DN150 硅橡胶,停用
MAT-0601-9244,三相异步电机 1.5kW   380V,  三相异步电机 1.5kW 380V，国产，标准件  ,电机,三相异步电机,件,16412.6,266,供应商D,1.5kW 380V,启用
MAT-0406-9555,法兰 DN80 316L HG/T,法兰 DN80 316L HG/T，进口，标准件,管件,法兰,只,39893.64,174,供应商C,DN80 316L HG/T,启用
MAT-0803-0357,流量计 0-10MPa,流量计 0-10MPa，进口，标准件,仪表,流量计,米,28919.78,23,供应商D,0-10MPa,启用
MAT-0205-0988,SKF 调心滚子轴承 35x42x11mm,SKF 调心滚子轴承 35x42x11mm，进口，标准件,轴承,调心滚子轴承,件,38293.73,500,供应商D,调心滚子轴承 35x42x11mm,启用
MAT-0704-6185,异径管 DN65 20# HG/T,异径管 DN65 20# HG/T，进口，标准件,轴承,推力球轴承,件,49642.41,201,,DN65 20# HG/T,启用
MAT-DUP-2791,螺栓 M16x60 12.9级,螺栓 M16x60 12.9级，进口，标准件,紧固件,螺栓,米,23036.66,79,供应商C,M16x60 12.9级,启用
MAT-0201-6869,INA 深沟球Bearing 70x77x10mm,INA 深沟球轴承 70x77x10mm，国产，标准件,轴承,深沟球轴承,套,29701.27,228,,深沟球轴承 70x77x10mm,启用
MAT-0406-0725,铆钉 M24x60 8.8级,铆钉 M24x60 8.8级，国产，标准件,紧固件,铆钉,件,0,148,供应商B,M24x60 8.8级,启用
MAT-0602-4945,直流电机 2.2kW 1140V,直流电机 2.2kW 1140V，国产，非标定制,电机,直流电机,kg,13764.94,285,,2.2kW 1140V,启用
MAT-0705-8121,管帽 DN15 316L DIN,管帽 DN15 316L DIN，进口，非标定制,管件,管帽,片,7469.39,192,供应商B,DN15 316L DIN,停用
MAT-0402-4928,螺母 M10x60 4.8级,螺母 M10x60 4.8级，进口，非标定制,紧固件,螺母,组,26504.29,198,供应商B,M10x60 4.8级,启用
MAT-0403-1296,垫圈 M30x45 4.8级,垫圈 M30x45 4.8级，国产，标准件,紧固件,垫圈,kg,18864.63,309,,M30x45 4.8级,启用
MAT-0202-9627,INA 圆锥滚子轴承 17x45x10mm,INA 圆锥滚子轴承 17x45x10mm，进口，非标定制,轴承,圆锥滚子轴承,个,0,97,供应商A,圆锥滚子轴承 17x45x10mm,停用
MAT-0406-9903,铆钉 M12x50 8.8级,铆钉 M12x50 8.8级，进口，非标定制,紧固件,铆钉,片,9691451.0,332,供应商C,M12x50 8.8级,启用
MAT-0503-8402,螺杆泵 ８0m³/h 12５m,螺杆泵 80m³/h 125m，国产，非标定制,泵类,螺杆泵,只,45717.38,189,供应商C,80m³/h 125m,停用
MAT-0104-2391,蝶阀 DN40 Class600 WCB,蝶阀 DN40 Class600 WCB，进口，非标定制,阀门,蝶阀,件,9817.63,117,供应商D,DN40 Class600 WCB,启用
MAT-0805-5531,变送器 0-4MPa,...,仪表,变送器,根,8420.0,407,供应商C,0-4MPa,启用
MAT-0406-9903,骨架油封 DN80 聚四氟乙烯,骨架油封 DN80 聚四氟乙烯，国产，标准件,密封件,骨架油封,套,47259.95,342,供应商A,DN80 聚四氟乙烯,启用
MAT-0702-3792,三通 DN２0 30４ GB/T,三通 DN20 304 GB/T，国产，非标定制,管件,三通,只,3031.9,326,,DN20 304 GB/T,停用
MAT-0801-0109,压力表 -40~120°C,压力表 -40~120°C，进口，标准件,紧固件,销钉,个,26475.59,140,,-40~120°C,启用
MAT-0107-2938,调节阀 DN20 Class600 WCB,调节阀 DN20 Class600 WCB，国产，标准件,阀门,调节阀,米,30992.84,129,供应商C,DN20 Class600 WCB,启用
MAT-0701-6113,弯头 DN65 A105 HG/T,弯头 DN65 A105 HG/T，国产，非标定制,仪表,压力表,套,32690.25,439,供应商A,DN65 A105 HG/T,启用
MAT-0704-6180,异径管 DN100 A105 GB/T,异径管 DN100 A105 GB/T，国产，标准件,管件,异径管,套,24997.92,222,供应商C,DN100 A105 GB/T,启用
MAT-0104-3464,蝶阀 DN80 PN63 WC9,蝶阀 DN80 PN63 WC9，国产，标准件,阀门,蝶阀,kg,9047391.92,288,供应商A,DN80 PN63 WC9,启用
MAT-0601-3395,○三相异步电机 2.2kW 1140V,三相异步电机 2.2kW 1140V，进口，标准件,电机,三相异步电机,kg,8130.89,123,,2.2kW 1140V,停用
MAT-0604-2293,步进电机 1.5kW 1140V,步进电机 1.5kW 1140V，进口，标准件,电机,步进电机,套,-575.06,429,供应商A,1.5kW 1140V,启用
MAT-0805-5645,变送器 0-2.5MPa,变送器 0-2.5MPa，国产，标准件,仪表,变送器,片,25148.16,444,供应商A,0-2.5MPa,启用
MAT-0403-1675,垫圈 M8x50 4.8级,垫圈 M8x50 4.8级，进口，非标定制,紧固件,垫圈,kg,40358.34,373,供应商D,M8x50 4.8级,启用
MAT-0802-9933,温度计 -40~120°C,温度计 -40~120°C，国产，非标定制,仪表,温度计,只,8133.48,315,供应商C,-40~120°C,启用
MAT-0804-3268,液位计 0-4MPa,液位计 0-4MPa，进口，非标定制,仪表,液位计,个,45397.77,45,,0-4MPa,启用
MAT-0104-6884,蝶阀 DN250 PN10 WC6,蝶阀 DN250 PN10 WC6，进口，非标定制,阀门,蝶阀,PCS,47137.66,152,供应商D,DN250 PN10 WC6,停用
  MAT-0101-0001  ,闸阀 DN50 PN16 WCB,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
MAT_0101_0002,闸阀 DN50 PN16 WCB,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
mat-0101-0003,闸阀 DN50 PN16 WCB,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
MAT-01-01-0004,闸阀 DN50 PN16 WCB,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
01010005,闸阀 DN50 PN16 WCB,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,闸阀 DN80 PN25 CF8,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,上海阀门厂有限公司,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,闸阀 DN80 PN25 CF8,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,沪阀门厂,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,闸阀 DN80 PN25 CF8,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,SH Valve Factory,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,闸阀 DN80 PN25 CF8,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,上海阀门厂,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,轴承 6205 2RS1,【紧急】轴承 6205 2RS1 需要尽快采购！！！联系人：张工 13800138000,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,轴承 6205 2RS1,"备注：这个物料是老设备上用的，新设备已经不用了，但是库存还有200个


",轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,轴承 6205 2RS1,<html><body>轴承 6205 2RS1</body></html>,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,轴承 6205 2RS1,轴承 6205 2RS1					,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,已停用但状态为启用的物料,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,0,供应商B,深沟球轴承 17x30x8mm,启用
MAT-0201-4507,停用但有库存的物料,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,500,供应商B,深沟球轴承 17x30x8mm,停用
BOM-001,装配组件A,BOM中使用此编码,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
INV-001,装配组件A,库存中使用此编码,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
